Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
16100224,32.03932,0.1392855,-4.992105,-0.06700625,-0.195117,0.09129131,2.975227,0.4230883,-0.01230171,-0.1491499,0.003846479,0.2467966
16200184,32.33811,0.1733315,-4.992642,-0.08487802,-0.1932109,0.1138316,2.968432,0.4614637,-0.01338828,-0.1255792,0.001242585,0.2005383
16300144,32.63678,0.203475,-4.993303,-0.09942497,-0.1916229,0.1316008,2.957164,0.4866387,-0.01245607,-0.09777948,-0.001658189,0.1520438
16400104,32.93416,0.2351182,-4.993954,-0.1107165,-0.1907249,0.1448643,2.945978,0.5087679,-0.01119584,-0.08017178,-0.005667077,0.1131908
16500064,33.2316,0.2590536,-4.994451,-0.1202957,-0.1901406,0.1553284,2.939126,0.5190437,-0.01296885,-0.06476447,-0.005134224,0.08827066
16600024,33.52808,0.284097,-4.994945,-0.1278839,-0.189613,0.1632651,2.929955,0.5300661,-0.01399371,-0.0545238,-0.003206223,0.0665111
16699984,33.82493,0.2984411,-4.994977,-0.1346763,-0.1890766,0.1695505,2.924252,0.530755,-0.01281354,-0.04412829,-0.001861659,0.05050143
16799944,34.12088,0.3142472,-4.994885,-0.139846,-0.1886539,0.1738371,2.917046,0.5359169,-0.01259664,-0.03736388,-0.001060643,0.03269903
16899904,34.41753,0.3167143,-4.994419,-0.1446622,-0.1883604,0.1769375,2.912622,0.5307009,-0.0132812,-0.02888436,-0.00166513,0.02185324
17000697,34.71314,0.3213563,-4.99377,-0.1480494,-0.1883394,0.1786537,2.904547,0.5299277,-0.01207078,-0.02295649,-0.002623508,0.009714258
17100657,35.00921,0.3094466,-4.992715,-0.15086,-0.1887012,0.1794698,2.898267,0.5205956,-0.01313383,-0.008053594,-0.007447271,-0.0004903483
17200617,35.30455,0.3012875,-4.99144,-0.1519797,-0.1895539,0.1789468,2.894546,0.5169975,-0.01427081,-0.004412668,-0.007280074,-0.01096105
17300577,35.60129,0.2747925,-4.989844,-0.1529154,-0.1903734,0.1778115,2.88953,0.5060046,-0.01540388,0.008430494,-0.007187385,-0.01568856
17400537,35.89706,0.2539807,-4.988172,-0.1523433,-0.1916066,0.1760028,2.885279,0.5066892,-0.01742633,0.009888581,-0.009818082,-0.01907015
17500497,36.19453,0.2134136,-4.985974,-0.152161,-0.1928314,0.1743591,2.88296,0.4946414,-0.02085263,0.02028602,-0.01069663,-0.01565143
17600457,36.49118,0.1805253,-4.983565,-0.1505225,-0.1942327,0.1725337,2.881693,0.4941538,-0.02069565,0.02234459,-0.01168927,-0.01624918
17700417,36.79033,0.1267499,-4.980647,-0.1491664,-0.195353,0.1707386,2.881584,0.4859578,-0.02172314,0.035663,-0.008906513,-0.01301084
17800377,37.08857,0.08260532,-4.977662,-0.1463448,-0.1965247,0.1688361,2.879727,0.4881293,-0.02550952,0.03475081,-0.009764679,-0.01212384
17900337,37.3895,0.01618955,-4.974149,-0.1440801,-0.1976981,0.1671976,2.881534,0.4814655,-0.02916081,0.04739016,-0.01096448,-0.005524016
18000297,37.68952,-0.03802494,-4.970597,-0.1404493,-0.1988439,0.1659108,2.882878,0.4906253,-0.03300302,0.04487626,-0.00925846,-0.0007053214
18100257,37.99261,-0.1144999,-4.966421,-0.137902,-0.1995785,0.165233,2.884719,0.4906541,-0.03565173,0.05280413,-0.008525958,0.0125342
